year;month;continentExp;countriesAndTerritories;cases;deaths;popData2019;Cumulative_number_for_14_days_of_CC;health expenditure per capita 2019;health expenditure per capital_2020;health expenditure per capital_2021
2020;12;Asia;Afghanistan;3429;208;38041757;7,240352076;7423;8029;8132
2020;11;Asia;Afghanistan;4419;227;38041757;4,980754876;7423;8029;8132
2020;10;Asia;Afghanistan;2171;78;38041757;1,948368337;7423;8029;8132
2020;9;Asia;Afghanistan;1092;56;38041757;1,394870729;7423;8029;8132
2020;8;Asia;Afghanistan;1620;131;38041757;2,373283415;7423;8029;8132
2020;7;Asia;Afghanistan;5304;538;38041757;8,133761557;7423;8029;8132
2020;6;Asia;Afghanistan;16713;484;38041757;23,04055865;7423;8029;8132
2020;5;Asia;Afghanistan;12576;189;38041757;10,74701896;7423;8029;8132
2020;4;Asia;Afghanistan;1808;56;38041757;1,499667852;7423;8029;8132
2020;3;Asia;Afghanistan;140;4;38041757;0,10352033;7423;8029;8132
2020;2;Asia;Afghanistan;1;0;38041757;0,000453222;7423;8029;8132
2020;1;Asia;Afghanistan;0;0;38041757;0;7423;8029;8132
2019;12;Asia;Afghanistan;0;0;38041757;;7423;8029;8132
2020;12;Europe;Albania;10905;205;2862427;356,4981745;36776;39688;46474
2020;11;Europe;Albania;16991;296;2862427;234,9195281;36776;39688;46474
2020;10;Europe;Albania;7116;118;2862427;94,70758499;36776;39688;46474
2020;9;Europe;Albania;4138;104;2862427;68,40582019;36776;39688;46474
2020;8;Europe;Albania;4183;126;2862427;62,5940741;36776;39688;46474
2020;7;Europe;Albania;2731;96;2862427;39,20088702;36776;39688;46474
2020;6;Europe;Albania;1344;25;2862427;16,91920877;36776;39688;46474
2020;5;Europe;Albania;356;2;2862427;5,746307975;36776;39688;46474
2020;4;Europe;Albania;543;19;2862427;8,436896382;36776;39688;46474
2020;3;Europe;Albania;223;12;2862427;4,576535925;36776;39688;46474
2020;12;Africa;Algeria;9881;186;43053054;29,71018701;23599;20604;20457
2020;11;Africa;Algeria;24570;454;43053054;21,2265236;23599;20604;20457
2020;10;Africa;Algeria;6283;230;43053054;5,824846232;23599;20604;20457
2020;9;Africa;Algeria;7222;225;43053054;9,34761407;23599;20604;20457
2020;8;Africa;Algeria;14315;301;43053054;16,55774037;23599;20604;20457
2020;7;Africa;Algeria;16260;295;43053054;14,38150571;23599;20604;20457
2020;6;Africa;Algeria;4304;259;43053054;4,276351685;23599;20604;20457
2020;5;Africa;Algeria;5419;202;43053054;5,438451254;23599;20604;20457
2020;4;Africa;Algeria;3264;409;43053054;2,96455934;23599;20604;20457
2020;3;Africa;Algeria;583;35;43053054;0,337776449;23599;20604;20457
2020;2;Africa;Algeria;1;0;43053054;0,000320375;23599;20604;20457
2020;1;Africa;Algeria;0;0;43053054;0;23599;20604;20457
2019;12;Africa;Algeria;0;0;43053054;;23599;20604;20457
2020;12;Europe;Andorra;626;3;76177;989,5187711;302660;326930;350599
2020;11;Europe;Andorra;2047;1;76177;1397,753478;302660;326930;350599
2020;10;Europe;Andorra;2699;22;76177;1367,739903;302660;326930;350599
2020;9;Europe;Andorra;842;0;76177;395,5699664;302660;326930;350599
2020;8;Europe;Andorra;202;1;76177;99,85233881;302660;326930;350599
2020;7;Europe;Andorra;67;0;76177;23,50214081;302660;326930;350599
2020;6;Europe;Andorra;91;1;76177;56,62251512;302660;326930;350599
2020;5;Europe;Andorra;21;9;76177;23,92560281;302660;326930;350599
2020;4;Europe;Andorra;373;34;76177;337,0658685;302660;326930;350599
2020;3;Europe;Andorra;370;8;76177;388,8312746;302660;326930;350599
2020;12;Africa;Angola;1085;25;31825299;3,928815068;6466;5505;6416
2020;11;Africa;Angola;4834;71;31825299;8,321262485;6466;5505;6416
2020;10;Africa;Angola;5364;96;31825299;6,366207325;6466;5505;6416
2020;9;Africa;Angola;2281;72;31825299;2,969964241;6466;5505;6416
2020;8;Africa;Angola;1546;59;31825299;1,95563629;6466;5505;6416
2020;7;Africa;Angola;802;37;31825299;0,914265541;6466;5505;6416
2020;6;Africa;Angola;192;7;31825299;0,191671412;6466;5505;6416
2020;5;Africa;Angola;57;2;31825299;0,055747899;6466;5505;6416
2020;4;Africa;Angola;20;0;31825299;0,032818055;6466;5505;6416
2020;3;Africa;Angola;7;2;31825299;;6466;5505;6416
2020;12;America;Antigua and Barbuda;7;0;97115;6,325343297;80154;87570;92341
2020;11;America;Antigua and Barbuda;14;1;97115;7,997391411;80154;87570;92341
2020;10;America;Antigua and Barbuda;26;0;97115;11,52607567;80154;87570;92341
2020;9;America;Antigua and Barbuda;7;0;97115;1,784825552;80154;87570;92341
2020;8;America;Antigua and Barbuda;3;0;97115;6,045376866;80154;87570;92341
2020;7;America;Antigua and Barbuda;25;0;97115;17,70431796;80154;87570;92341
2020;6;America;Antigua and Barbuda;41;0;97115;8,546568503;80154;87570;92341
2020;5;America;Antigua and Barbuda;1;0;97115;0,631110773;80154;87570;92341
2020;4;America;Antigua and Barbuda;17;3;97115;9,87098481;80154;87570;92341
2020;3;America;Antigua and Barbuda;7;0;97115;;80154;87570;92341
2020;12;America;Argentina;79366;2293;44780675;204,3526588;101623;89508;104477
2020;11;America;Argentina;261628;7681;44780675;315,9560086;101623;89508;104477
2020;10;America;Argentina;420570;14273;44780675;415,4817863;101623;89508;104477
2020;9;America;Argentina;335370;8118;44780675;328,2221628;101623;89508;104477
2020;8;America;Argentina;222243;5090;44780675;198,5971879;101623;89508;104477
2020;7;America;Argentina;116728;2031;44780675;99,93625383;101623;89508;104477
2020;6;America;Argentina;46054;752;44780675;36,23616661;101623;89508;104477
2020;5;America;Argentina;11929;314;44780675;8,432424867;101623;89508;104477
2020;4;America;Argentina;3306;190;44780675;3,067320148;101623;89508;104477
2020;3;America;Argentina;966;24;44780675;1,022576517;101623;89508;104477
2020;12;Europe;Armenia;13558;339;2957728;515,5332549;54947;55154;61278
2020;11;Europe;Armenia;45311;823;2957728;824,4210871;54947;55154;61278
2020;10;Europe;Armenia;39912;383;2957728;416,658087;54947;55154;61278
2020;9;Europe;Armenia;6151;81;2957728;83,11221766;54947;55154;61278
2020;8;Europe;Armenia;5200;139;2957728;94,53092853;54947;55154;61278
2020;7;Europe;Armenia;13008;295;2957728;226,7695274;54947;55154;61278
2020;6;Europe;Armenia;16260;312;2957728;233,4122678;54947;55154;61278
2020;5;Europe;Armenia;7216;99;2957728;81,63851312;54947;55154;61278
2020;4;Europe;Armenia;1534;29;2957728;20,70395475;54947;55154;61278
2020;3;Europe;Armenia;532;3;2957728;5,835252908;54947;55154;61278
2020;2;Europe;Armenia;0;0;2957728;0;54947;55154;61278
2020;1;Europe;Armenia;0;0;2957728;0;54947;55154;61278
2019;12;Europe;Armenia;0;0;2957728;;54947;55154;61278
2020;12;Oceania;Australia;138;1;25203200;0,574756949;554591;595877;705537
2020;11;Oceania;Australia;311;0;25203200;0,628491621;554591;595877;705537
2020;10;Oceania;Australia;519;25;25203200;0,97005091;554591;595877;705537
2020;9;Oceania;Australia;1393;271;25203200;4,050543846;554591;595877;705537
2020;8;Oceania;Australia;9367;422;25203200;20,13748382;554591;595877;705537
2020;7;Oceania;Australia;8536;85;25203200;10,76425011;554591;595877;705537
2020;6;Oceania;Australia;582;2;25203200;0,741572499;554591;595877;705537
2020;5;Oceania;Australia;439;12;25203200;0,820172349;554591;595877;705537
2020;4;Oceania;Australia;2189;71;25203200;8,157165228;554591;595877;705537
2020;3;Oceania;Australia;4532;19;25203200;3,991428635;554591;595877;705537
2020;2;Oceania;Australia;18;0;25203200;0,03311019;554591;595877;705537
2020;1;Oceania;Australia;7;0;25203200;0,006264868;554591;595877;705537
2019;12;Oceania;Australia;0;0;25203200;;554591;595877;705537
2020;12;Europe;Austria;41854;1496;8858775;626,3765105;526339;556697;650481
2020;11;Europe;Austria;176739;1825;8858775;876,7623063;526339;556697;650481
2020;10;Europe;Austria;56836;283;8858775;199,191598;526339;556697;650481
2020;9;Europe;Austria;17389;63;8858775;77,89677467;526339;556697;650481
2020;8;Europe;Austria;6209;15;8858775;27,07211849;526339;556697;650481
2020;7;Europe;Austria;3343;15;8858775;14,3073011;526339;556697;650481
2020;6;Europe;Austria;1028;35;8858775;4,993918459;526339;556697;650481
2020;5;Europe;Austria;1274;88;8858775;7,420016656;526339;556697;650481
2020;4;Europe;Austria;5746;472;8858775;51,80964637;526339;556697;650481
2020;3;Europe;Austria;9611;108;8858775;26,05981803;526339;556697;650481
2020;2;Europe;Austria;7;0;8858775;0,006227996;526339;556697;650481
2020;1;Europe;Austria;0;0;8858775;0;526339;556697;650481
2019;12;Europe;Austria;0;0;8858775;;526339;556697;650481
